text,label
좋은 상품 좋은 가격에 잘 샀어요 사이즈도 괜찮아요 ,1
"정말 좋습니다
재질도 좋고 아주만족해요! 잘입겠습니다",1
"오버핏으로 잘 맞아요 얇은데 되게 따뜻해서 좋아요
약간 먼지가 잘 붙긴 하고 실밥이 나와있거나 박음질이 애매한 부분이 있긴한데 엄청 신경쓰일 정도는 아니에요
또 목 부분이 뻣뻣하다는게 무슨 말이지 했는데 입어보니 가끔 목 앞쪽이 눌리는 느낌이 들 때가 있어요ㅠ
근데 기능성이 좋고 옷이 예뻐서 단점이 다 상쇄돼요",1
작을줄 알앗는데 넉넉해서 좋고 기모라 따뜻하네요. 색감도 촌스럽지 않아서 맘에들어요,1
포장 굿,0
따뜻할거라 기대했는데 찬바람이 넘  잘들어오네요 ㅠㅜ 춥습니다,1
"생각했던것 보다 더 핏이 좋고 마감도 좋네용
자주 입을것 같아용",1
"가격대가 저렴해서 일단 구매하세요!!! 
특히 색상이 좋고 두께감이 한겨울에도 끄떡 없을 정도의 기모가 들어있어서 좋네요~",1
기모가 빠져도 너무 빠지는거 아닌가요? 진짜 심각하네요. 돌돌이하고 털고 세탁했는데도 기모가 진짜  너무 빠지네요...하.. 오늘 입고 나갔다가 검은색 바지 난리났습니다.. 지금 또 돌돌이하다가 열받아서 후기 씁니다,1
"색상만 다르게 같은 바지 샀는데

이 바지는 상대적으로 스판끼도 없고

더 작습니다 후기 적는다 하고 잊고있다 

지금 적습니다",1
보기와는다르게 원단이 짱짱한게 너무 맘에듭니다  작게 나왔다는 후기보고 한치수 크게 주문 했는데 잘맞네요.  생각보다  브론슨 좋네요 감사합니다,1
예쁩미다. 원래 밝은색 옷 진짜 안 사입는데 이건 디자인이 너무 취저라 냉큼 샀네요 가격대가 좀 있지만... 주구장창 입고댕길 예정이라 만족합니다ㅏ,0
정말 따뜻하고 겨울 필수템으로 딱입니다 추천합니다.,1
"운떤 남자의 아우터를 손민수 해 보았습니다 😳😳
너무 아이보리일까봐 걱정했는데 실물은 누런 느낌이 별로 없어서 좋았어요 제 체형과 비슷한 여성 분들은 무조건 에스!! 사세요
편하게 아무 곳이나 갈 때 입을 옷인 거 같아요
아 그리고 밝은 컬러라 일부 비침 있습니다",1
가성비 최고 핏도 예뻐요 보온성은 큰 기대 안 했는데 가벼운데 따수워서 11월 말까지도 잘 입고 다닙니다잉~!,1
"같은 사이즈로 크림, 블루그레이 주문했는데
두개 사이즈 차이가 있네요

목도 넓이가 틀려요
크림은 입기전 손으로 조물 조물 빨아서 눌러서 짠 다음에
말렸는데 목이 늘어났네요",1
포장 느림,0
도착 별로,0
주문 느림,0
"아..올리브 컬러가 무신사 한정컬러라 사봤는데
오.. 이뻐요 ㅎㅎ 여쿨인데 화사하게 아주 잘 받습니다 허허 
사이즈는 낙낙하게 잘 맞아서 좋고요 
다만 오리털이 아니라 물세탁 불가…..ㅠㅠ흡..
아 이걸 생각 못했네요 ㅠㅠ
그래도 옷은 이뿝니다 ㅋㅋ

올리브컬러라 잘 안겹칠거같아서 좋아요",1
사이즈가 작아서 환불 요청했는데 시간대가 안 맞아서 환불도 못하고 그냥 갖고 있습니다.,1
"4월에 시킨거라 기모가 들어있을줄 몰랐네요
얼마 못입겠어요 그리고 어깨가 너무 넓어요",1
무엇보다 색감이 우수하고 사이즈도 잘맞고 아치형으로 반ㆍ이 펀합니다 또 재구매 의사 있습니다,1
"품질이 딱 세일 가격만큼예요.키160 에 라지사이즈는 길이 적당하고,키 183 XL사이즈 남성에게는 약간 길이가 짧은듯해요",1
경량패딩이랑 레이어드 하려고 후드 티 샀어요. 그레이컬러라 아무데나 다 잘어울려요.,0
"가격도 괜찮고 무난하게 입고 다니기 좋아요 
편하게 입을 수 있을거같아요",0
아이가 교복마냥 잘 입고 다녀요 기모가 빵빵합니다,0
역시 이런 무지 후드는 멜란지마스터가 좋네요 무난하니 참 좋아요,1
핏좋은디 신축성 없슴니다 사이즈도 딱 맞구요 근데 좋아요,1
가격대비해도 퀄리티 너무 구림 가성비로 입으려했더니 너무 하네,1
많이 달라붙는다 나 말랐는데 찹찹감기는것이 바지는 입어보고 사야한다,1
s는 골반있는데가 좀 작아서 m으로 했더니 품이 좀 크고 팔통도 커요 슬림한핏은 아닌것 같아요 생각보다 얇지 않아서 따뜻합니다!!,1
도착 좋음,0
